x1	x2	x3	x4	x5
0.365004	1.005602	0.010000	0.010000	0.100000
0.365069	1.006067	0.010000	0.010000	0.176929
0.364743	1.004961	0.010000	0.010000	0.100059
0.364043	1.004978	0.010000	0.010000	0.363743
0.365234	1.005588	0.010000	0.010000	0.405844
0.364768	0.010000	0.010000	0.010000	0.252779
0.364859	1.005638	0.010000	0.010000	0.430248
0.363007	1.004702	0.010000	0.010000	0.112700
0.364896	1.006194	0.010000	0.010000	0.025190
0.365019	1.006575	0.010000	0.010000	0.903627
0.364062	1.005730	0.010000	0.010000	0.924492
0.364270	1.005815	0.010000	0.010000	0.878428
0.364148	1.005409	0.010000	0.010000	0.595586
0.363754	0.010000	0.010000	0.010000	0.446485
0.365018	0.010000	0.010000	0.010000	0.483415
0.365155	1.005514	0.010000	0.010000	0.583847
0.365019	1.006529	0.010000	0.010000	0.881122
0.364529	1.004871	0.010000	0.010000	0.144292
0.364836	1.005585	0.010000	0.010000	0.048597
0.365225	1.005863	0.010000	0.010000	0.297953
0.364742	1.006770	0.010000	0.010000	0.071903
0.364482	1.006092	0.010000	0.010000	0.640656
0.364031	1.004926	0.010000	0.010000	0.198721
0.364451	0.010000	0.010000	0.010000	0.604195
0.365136	1.005796	0.010000	0.010000	0.997999
0.365599	1.006424	0.010000	0.010000	0.324354
0.364212	1.005315	0.010000	0.010000	0.798409
0.364425	1.006179	0.010000	0.010000	0.459930
0.366448	0.010000	0.010000	0.010000	0.520645
0.365667	1.006112	0.010000	0.010000	0.332911
0.365466	1.005019	0.010000	0.010000	0.178615
0.365216	1.005970	0.010000	0.010000	0.342210
0.365145	0.010000	0.010000	0.010000	0.029203
0.365487	1.006546	0.010000	0.010000	0.678525
0.364488	0.010000	0.010000	0.010000	0.215617
0.364596	1.004968	0.010000	0.010000	0.807659
0.365294	0.010000	0.010000	0.010000	0.011300
0.365199	1.005333	0.010000	0.010000	0.910621
0.365295	1.006128	0.010000	0.010000	0.964661
0.367819	0.010000	0.010000	0.010000	0.845868
0.366071	1.006217	0.010000	0.010000	0.837588
0.365261	1.005231	0.010000	0.010000	0.321878
0.364937	1.005609	0.010000	0.010000	0.325376
0.365449	0.010000	0.010000	0.010000	0.175423
0.364003	1.006768	0.010000	0.010000	0.429983
0.363793	1.005978	0.010000	0.010000	0.307140
0.364561	1.005707	0.010000	0.010000	0.170087
0.365278	0.010000	0.010000	0.010000	0.975155
